danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,
0.286,0.703,4,-4.491,0,0.0348,0.00847,0,0.142,0.259,151.297,audio_features,7Hr1Ignop7cymbE3FbOtXa,spotify:track:7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/tracks/7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/audio-analysis/7Hr1Ignop7cymbE3FbOtXa,326813,4,
0.539,0.926,2,-6.495,1,0.0499,0.014,0,0.36,0.454,136.279,audio_features,1VuBmEauSZywQVtqbxNqka,spotify:track:1VuBmEauSZywQVtqbxNqka,https://api.spotify.com/v1/tracks/1VuBmEauSZywQVtqbxNqka,https://api.spotify.com/v1/audio-analysis/1VuBmEauSZywQVtqbxNqka,246400,4,
0.508,0.471,0,-10.718,0,0.0385,0.783,0,0.25,0.117,81.995,audio_features,4NU4ZK3ncM05KPUc8JSuQ5,spotify:track:4NU4ZK3ncM05KPUc8JSuQ5,https://api.spotify.com/v1/tracks/4NU4ZK3ncM05KPUc8JSuQ5,https://api.spotify.com/v1/audio-analysis/4NU4ZK3ncM05KPUc8JSuQ5,131715,4,
0.402,0.845,2,-6.459,1,0.0319,0.000676,0,0.158,0.686,174.727,audio_features,4yBiZFLXn0n9AUJ5sWO88k,spotify:track:4yBiZFLXn0n9AUJ5sWO88k,https://api.spotify.com/v1/tracks/4yBiZFLXn0n9AUJ5sWO88k,https://api.spotify.com/v1/audio-analysis/4yBiZFLXn0n9AUJ5sWO88k,258717,4,
0.286,0.703,4,-4.491,0,0.0348,0.00847,0,0.142,0.259,151.297,audio_features,7Hr1Ignop7cymbE3FbOtXa,spotify:track:7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/tracks/7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/audio-analysis/7Hr1Ignop7cymbE3FbOtXa,326813,4,
0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,audio_features,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4,
0.292,0.0322,5,-25.073,1,0.0442,0.993,0,0.117,0.132,168.631,audio_features,2SlARTbg8VmWVF4cG7imB8,spotify:track:2SlARTbg8VmWVF4cG7imB8,https://api.spotify.com/v1/tracks/2SlARTbg8VmWVF4cG7imB8,https://api.spotify.com/v1/audio-analysis/2SlARTbg8VmWVF4cG7imB8,128331,3,
0.612,0.807,10,-2.81,1,0.0336,0.0495,0,0.101,0.398,124.053,audio_features,2QjOHCTQ1Jl3zawyYOpxh6,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4,
0.433,0.959,9,-4.04,1,0.0431,0.000917,0,0.028,0.365,172.984,audio_features,7x8dCjCr0x6x2lXKujYD34,spotify:track:7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/tracks/7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/audio-analysis/7x8dCjCr0x6x2lXKujYD34,269373,4,
0.588,0.856,9,-5.242,0,0.0316,0.000818,0,0.238,0.635,96.966,audio_features,7v4ziK63yNqkfHh8S3ZSR3,spotify:track:7v4ziK63yNqkfHh8S3ZSR3,https://api.spotify.com/v1/tracks/7v4ziK63yNqkfHh8S3ZSR3,https://api.spotify.com/v1/audio-analysis/7v4ziK63yNqkfHh8S3ZSR3,175044,4,
0.784,0.0752,6,-13.934,0,0.142,0.928,0,0.105,0.476,81.97,audio_features,2qOe8xGW1mKROLBK0o4kuR,spotify:track:2qOe8xGW1mKROLBK0o4kuR,https://api.spotify.com/v1/tracks/2qOe8xGW1mKROLBK0o4kuR,https://api.spotify.com/v1/audio-analysis/2qOe8xGW1mKROLBK0o4kuR,110709,4,
0.645,0.792,4,-7.34,0,0.036,0.0562,0,0.119,0.666,90.565,audio_features,7nnWIPM5hwE3DaUBkvOIpy,spotify:track:7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/tracks/7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/audio-analysis/7nnWIPM5hwE3DaUBkvOIpy,232453,4,
