danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.286000,0.703000,4,-4.491000,0,0.034800,0.008470,0,0.142000,0.259000,151.297000,audio_features,7Hr1Ignop7cymbE3FbOtXa,spotify:track:7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/tracks/7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/audio-analysis/7Hr1Ignop7cymbE3FbOtXa,326813,4
0.402000,0.098200,5,-19.814000,0,0.040100,0.356000,0,0.358000,0.191000,141.540000,audio_features,56UsciEGCYrmCTSI3veuvC,spotify:track:56UsciEGCYrmCTSI3veuvC,https://api.spotify.com/v1/tracks/56UsciEGCYrmCTSI3veuvC,https://api.spotify.com/v1/audio-analysis/56UsciEGCYrmCTSI3veuvC,464040,3
0.439000,0.303000,3,-10.839000,1,0.042200,0.839000,0,0.071000,0.268000,139.475000,audio_features,02JIdsrod3BYucThfUFDUX,spotify:track:02JIdsrod3BYucThfUFDUX,https://api.spotify.com/v1/tracks/02JIdsrod3BYucThfUFDUX,https://api.spotify.com/v1/audio-analysis/02JIdsrod3BYucThfUFDUX,170787,3
0.639000,0.526000,0,-6.697000,1,0.025600,0.245000,0,0.250000,0.488000,130.033000,audio_features,2IVsRhKrx8hlQBOWy4qebo,spotify:track:2IVsRhKrx8hlQBOWy4qebo,https://api.spotify.com/v1/tracks/2IVsRhKrx8hlQBOWy4qebo,https://api.spotify.com/v1/audio-analysis/2IVsRhKrx8hlQBOWy4qebo,216880,3
0.419000,0.084200,6,-17.542000,1,0.034100,0.957000,0,0.285000,0.246000,88.278000,audio_features,2BAsBkA10fTRZhF5iMs0Dh,spotify:track:2BAsBkA10fTRZhF5iMs0Dh,https://api.spotify.com/v1/tracks/2BAsBkA10fTRZhF5iMs0Dh,https://api.spotify.com/v1/audio-analysis/2BAsBkA10fTRZhF5iMs0Dh,157683,4
0.399000,0.491000,6,-10.778000,0,0.053800,0.056300,0,0.110000,0.151000,91.066000,audio_features,6AGOKlMZWLCaEJGnaROtF9,spotify:track:6AGOKlMZWLCaEJGnaROtF9,https://api.spotify.com/v1/tracks/6AGOKlMZWLCaEJGnaROtF9,https://api.spotify.com/v1/audio-analysis/6AGOKlMZWLCaEJGnaROtF9,210463,4
0.782000,0.828000,10,-4.220000,1,0.042800,0.036100,0,0.142000,0.839000,141.872000,audio_features,4qwhCmldDsp1cKbDX44SHz,spotify:track:4qwhCmldDsp1cKbDX44SHz,https://api.spotify.com/v1/tracks/4qwhCmldDsp1cKbDX44SHz,https://api.spotify.com/v1/audio-analysis/4qwhCmldDsp1cKbDX44SHz,146625,4
0.484000,0.039000,0,-28.557000,1,0.048000,0.991000,0,0.133000,0.118000,112.814000,audio_features,4cmE5SPvjKEzIHzhrLq9jO,spotify:track:4cmE5SPvjKEzIHzhrLq9jO,https://api.spotify.com/v1/tracks/4cmE5SPvjKEzIHzhrLq9jO,https://api.spotify.com/v1/audio-analysis/4cmE5SPvjKEzIHzhrLq9jO,197500,4
0.728000,0.783000,11,-4.424000,0,0.266000,0.237000,0,0.434000,0.555000,77.011000,audio_features,1r9xUipOqoNwggBpENDsvJ,spotify:track:1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/tracks/1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/audio-analysis/1r9xUipOqoNwggBpENDsvJ,173381,4
0.657000,0.614000,0,-7.829000,0,0.055000,0.062500,0,0.397000,0.723000,113.009000,audio_features,11xOwUHV7P1q7UpEQuMIrx,spotify:track:11xOwUHV7P1q7UpEQuMIrx,https://api.spotify.com/v1/tracks/11xOwUHV7P1q7UpEQuMIrx,https://api.spotify.com/v1/audio-analysis/11xOwUHV7P1q7UpEQuMIrx,176283,4
0.779000,0.516000,10,-6.467000,0,0.052100,0.148000,0,0.049200,0.715000,120.026000,audio_features,48XkVAagIoQHCsOlJtXUd5,spotify:track:48XkVAagIoQHCsOlJtXUd5,https://api.spotify.com/v1/tracks/48XkVAagIoQHCsOlJtXUd5,https://api.spotify.com/v1/audio-analysis/48XkVAagIoQHCsOlJtXUd5,247787,4
0.614000,0.660000,0,-2.848000,1,0.044100,0.190000,0,0.211000,0.452000,145.010000,audio_features,2C6WXnmZ66tHhHlnvwePiK,spotify:track:2C6WXnmZ66tHhHlnvwePiK,https://api.spotify.com/v1/tracks/2C6WXnmZ66tHhHlnvwePiK,https://api.spotify.com/v1/audio-analysis/2C6WXnmZ66tHhHlnvwePiK,245267,4
0.466000,0.833000,7,-4.215000,1,0.304000,0.026600,0,0.032700,0.661000,88.785000,audio_features,59WN2psjkt1tyaxjspN8fp,spotify:track:59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/audio-analysis/59WN2psjkt1tyaxjspN8fp,313573,4
0.680000,0.578000,10,-5.804000,1,0.040000,0.331000,0,0.135000,0.341000,145.038000,audio_features,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4
0.601000,0.741000,2,-5.569000,1,0.047800,0.185000,0,0.415000,0.441000,153.960000,audio_features,6I3mqTwhRpn34SLVafSH7G,spotify:track:6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/tracks/6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/audio-analysis/6I3mqTwhRpn34SLVafSH7G,153190,4
0.579000,0.508000,2,-9.484000,1,0.027000,0.005740,0,0.057500,0.609000,147.125000,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4
0.481000,0.487000,5,-14.016000,1,0.039300,0.407000,0,0.308000,0.311000,73.093000,audio_features,5S2e7gDXQFMnnXoth2zrOo,spotify:track:5S2e7gDXQFMnnXoth2zrOo,https://api.spotify.com/v1/tracks/5S2e7gDXQFMnnXoth2zrOo,https://api.spotify.com/v1/audio-analysis/5S2e7gDXQFMnnXoth2zrOo,321758,4
0.760000,0.479000,2,-5.574000,1,0.046600,0.556000,0,0.070300,0.913000,89.911000,audio_features,3KkXRkHbMCARz0aVfEt68P,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,158040,4
0.479000,0.023500,5,-26.168000,1,0.038100,0.924000,0,0.124000,0.245000,121.199000,audio_features,5ErJuPKvaeopdg17OqmN8k,spotify:track:5ErJuPKvaeopdg17OqmN8k,https://api.spotify.com/v1/tracks/5ErJuPKvaeopdg17OqmN8k,https://api.spotify.com/v1/audio-analysis/5ErJuPKvaeopdg17OqmN8k,82307,4
0.766000,0.622000,5,-5.292000,0,0.101000,0.063900,0,0.207000,0.679000,140.076000,audio_features,2ZIZXWnU52s0C75sPYiwvh,spotify:track:2ZIZXWnU52s0C75sPYiwvh,https://api.spotify.com/v1/tracks/2ZIZXWnU52s0C75sPYiwvh,https://api.spotify.com/v1/audio-analysis/2ZIZXWnU52s0C75sPYiwvh,191493,4
0.541000,0.960000,0,-2.947000,0,0.050500,0.066300,0,0.344000,0.812000,122.803000,audio_features,0rmGAIH9LNJewFw7nKzZnc,spotify:track:0rmGAIH9LNJewFw7nKzZnc,https://api.spotify.com/v1/tracks/0rmGAIH9LNJewFw7nKzZnc,https://api.spotify.com/v1/audio-analysis/0rmGAIH9LNJewFw7nKzZnc,222707,4
0.758000,0.732000,5,-5.511000,0,0.051000,0.489000,0,0.130000,0.924000,90.038000,audio_features,3oqC4Ta40ft6NnTJwcUTdi,spotify:track:3oqC4Ta40ft6NnTJwcUTdi,https://api.spotify.com/v1/tracks/3oqC4Ta40ft6NnTJwcUTdi,https://api.spotify.com/v1/audio-analysis/3oqC4Ta40ft6NnTJwcUTdi,185333,4
0.775000,0.327000,11,-7.241000,1,0.055700,0.841000,0,0.082100,0.595000,91.050000,audio_features,4cktbXiXOapiLBMprHFErI,spotify:track:4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/audio-analysis/4cktbXiXOapiLBMprHFErI,189486,4
0.808000,0.745000,10,-5.260000,0,0.342000,0.145000,0,0.292000,0.829000,165.995000,audio_features,7FIWs0pqAYbP91WWM0vlTQ,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,https://api.spotify.com/v1/tracks/7FIWs0pqAYbP91WWM0vlTQ,https://api.spotify.com/v1/audio-analysis/7FIWs0pqAYbP91WWM0vlTQ,210800,4
0.736000,0.964000,1,-2.291000,1,0.294000,0.007850,0,0.131000,0.372000,100.019000,audio_features,50gPjAfjdq6BjEz937C3hm,spotify:track:50gPjAfjdq6BjEz937C3hm,https://api.spotify.com/v1/tracks/50gPjAfjdq6BjEz937C3hm,https://api.spotify.com/v1/audio-analysis/50gPjAfjdq6BjEz937C3hm,196895,4
0.736000,0.704000,3,-7.409000,0,0.061500,0.020300,0,0.050100,0.894000,149.995000,audio_features,27NovPIUIRrOZoCHxABJwK,spotify:track:27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,212000,4
0.551000,0.440000,10,-8.559000,1,0.098500,0.606000,0,0.110000,0.341000,167.923000,audio_features,5kfNriitmkNE8mUbZ7gbq8,spotify:track:5kfNriitmkNE8mUbZ7gbq8,https://api.spotify.com/v1/tracks/5kfNriitmkNE8mUbZ7gbq8,https://api.spotify.com/v1/audio-analysis/5kfNriitmkNE8mUbZ7gbq8,210667,4
0.825000,0.652000,1,-3.183000,0,0.080200,0.581000,0,0.093100,0.931000,95.977000,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
0.611000,0.462000,0,-7.054000,1,0.064600,0.558000,0,0.131000,0.377000,59.635000,audio_features,7npLlaPu9Mfno8hjk5OagD,spotify:track:7npLlaPu9Mfno8hjk5OagD,https://api.spotify.com/v1/tracks/7npLlaPu9Mfno8hjk5OagD,https://api.spotify.com/v1/audio-analysis/7npLlaPu9Mfno8hjk5OagD,215230,4
0.542000,0.732000,9,-5.956000,1,0.052100,0.002090,0,0.496000,0.489000,124.912000,audio_features,7FdUvDkaE24o3FPIWTvzv2,spotify:track:7FdUvDkaE24o3FPIWTvzv2,https://api.spotify.com/v1/tracks/7FdUvDkaE24o3FPIWTvzv2,https://api.spotify.com/v1/audio-analysis/7FdUvDkaE24o3FPIWTvzv2,175644,4
0.496000,0.863000,9,-4.153000,1,0.038100,0.004600,0,0.639000,0.243000,110.018000,audio_features,2nLtzopw4rPReszdYBJU6h,spotify:track:2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,185587,4
0.764000,0.705000,3,-5.279000,0,0.027800,0.037100,0,0.094300,0.672000,101.003000,audio_features,0y60itmpH0aPKsFiGxmtnh,spotify:track:0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/tracks/0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/audio-analysis/0y60itmpH0aPKsFiGxmtnh,196520,4
